Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0623,Golemastoc,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,"Route Victoire, Tour Dragospire","Route Victoire, Tour Dragospire",Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire évoluer Gringolem (niveau 43),,,,"Lac Ouragan, Fosse des Sables, Siège du Géant, Plaine Rocheuse, Tour en ruines, Croisée Trois-Voies, Expédition Dynamax","Lac Ouragan, Fosse des Sables, Siège du Géant, Plaine Rocheuse, Tour en ruines, Croisée Trois-Voies, Expédition Dynamax",Incompatible,Incompatible,,,,
0624,Scalpion,,,,,,,,,,,,,,,,,,"Route 9, Route 11 (Hautes herbes)","Route 9, Route 11 (Hautes herbes)",Route 9,Route 9,"Route 15, Hôtel Désolation","Route 15, Hôtel Désolation",Indisponible,Indisponible,Échange,Échange,Intrusion* (Scalproie*),Intrusion* (Scalproie*),,,"Route 8, Abords de Motorby, Coiffe du Géant, Miroir du Géant, Plaine Rocheuse, Berges de Motorby, Lande Boldair, Forêt Flexion, Route de l'Épreuve, Sables de Kudsac","Route 8, Abords de Motorby, Coiffe du Géant, Miroir du Géant, Plaine Rocheuse, Berges de Motorby, Lande Boldair, Forêt Flexion, Route de l'Épreuve, Sables de Kudsac",Incompatible,Incompatible,,,,
0625,Scalproie,,,,,,,,,,,,,,,,,,Route 11 (Herbes sombres uniquement),Route 11 (Herbes sombres uniquement),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Route 17 (herbes marron),Route 17 (herbes marron),,,"Lac Ouragan, Siège du Géant, Berges de Motorby, Route de l'Épreuve, Plaine des Efforts, Expédition Dynamax","Lac Ouragan, Siège du Géant, Berges de Motorby, Route de l'Épreuve, Plaine des Efforts, Expédition Dynamax",Incompatible,Incompatible,,,,
0626,Frison,,,,,,,,,,,,,,,,,,Route 10,Route 10,"Route 23, Trouée Cachée (Route 9)","Route 23, Trouée Cachée (Route 9)",Indisponible,Indisponible,Route 113 (Navi-Dex),Route 113 (Navi-Dex),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Lande Boldair, Expédition Dynamax","Lande Boldair, Expédition Dynamax",Incompatible,Incompatible,,,,
0627,Furaiglon,,,,,,,,,,,,,,,,,,Indisponible,"Route 10, Route 11 (Hautes herbes), Pont du Hameau (Hautes herbes), Route Victoire",Indisponible,Route 23,Indisponible,Indisponible,Mont Mirage (Nord de Nénucrique),Mont Mirage (Nord de Nénucrique),Route 3*,,Route 3*,,,,"Route 8, Plaine Rocheuse, Prairie Entre-Ponts, Sables de Kudsac",Échange,??,??,,,,
0628,Gueriaigle,,,,,,,,,,,,,,,,,,Indisponible,"Route 11, Pont du Hameau (Herbes sombres uniquement)",Indisponible,"Fixe, Route 4 (Talent Caché, lundis uniquement), Faire évoluer Furaiglon au N.54",Indisponible,Indisponible,Grand Envol,Grand Envol,Plaine de Poni*,,Plaine de Poni*,,,,"Fosse des Sables, Lac Ouragan, Route de l'Épreuve, Sables de Kudsac",Échange,Incompatible,Incompatible,,,,
0628,Gueriaigle,Hisui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0629,Vostourno,,,,,,,,,,,,,,,,,,"Route 10, Route 11 (Hautes herbes), Pont du Hameau (Hautes herbes), Route Victoire",Indisponible,Route 23,Indisponible,"Safari des Amis Ténèbres, position 1 (0319-3394-0903)","Safari des Amis Ténèbres, position 1 (0319-3394-0903)",Mont Mirage (Nord-ouest de la Grotte Tréfonds),Mont Mirage (Nord-ouest de la Grotte Tréfonds),,Route 3*,,Route 3*,,,Échange,"Fosse des Sables, Lac Ouragan",Incompatible,Incompatible,,,,
0630,Vaututrice,,,,,,,,,,,,,,,,,,"Route 11, Pont du Hameau (Herbes sombres uniquement)",Indisponible,"Fixe, Route 4 (Talent Caché, jeudis uniquement), Faire évoluer Vostourno au N.54",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,Plaine de Poni*,,Plaine de Poni*,,,Échange,"Route 8, Plaine Rocheuse, Prairie Entre-Ponts, Route de l'Épreuve, Sables de Kudsac",Incompatible,Incompatible,,,,
0631,Aflamanoir,,,,,,,,,,,,,,,,,,Route Victoire,Route Victoire,Mont Foré,Mont Foré,"Route 18 (Hautes herbes, Horde* et Embuscades d'un buisson)","Route 18 (Hautes herbes, Horde* et Embuscades d'un buisson)",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Route 6, Miroir du Géant, Lac Ouragan, Repos du Géant, Cimetière Ancien, Croisée Trois-Voies, Expédition Dynamax","Route 6, Miroir du Géant, Lac Ouragan, Repos du Géant, Cimetière Ancien, Croisée Trois-Voies, Expédition Dynamax",Incompatible,Incompatible,,,,
0632,Fermite,,,,,,,,,,,,,,,,,,Route Victoire,Route Victoire,"Mont Foré, Route Bardane","Mont Foré, Route Bardane","Route 18 (Hautes herbes, Horde et Embuscades d'un buisson), Grotte Coda (Marche et Horde)","Route 18 (Hautes herbes, Horde et Embuscades d'un buisson), Grotte Coda (Marche et Horde)",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Route 6, Miroir du Géant, Lac Ouragan, Repos du Géant, Cimetière Ancien, Croisée Trois-Voies, Expédition Dynamax","Route 6, Miroir du Géant, Lac Ouragan, Repos du Géant, Cimetière Ancien, Croisée Trois-Voies, Expédition Dynamax",Incompatible,Incompatible,,,,
0633,Solochi,,,,,,,,,,,,,,,,,,Route Victoire (Rez-de-chaussée et deuxième étage),Route Victoire (Rez-de-chaussée et deuxième étage),Indisponible,Indisponible,Indisponible,Indisponible,Site Météore (Navi-Dex),Site Météore (Navi-Dex),"Scanner des Îles : Mardi, Colline Dicarat*","Scanner des Îles : Mardi, Colline Dicarat*",Échange,Échange,,,"Lac Ouragan, Cavernes Gronde-Mer",Échange,Incompatible,Incompatible,,,,
0634,Diamat,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Route Victoire (Troisième étage de la grotte),Route Victoire (Troisième étage de la grotte),Route Victoire,Route Victoire,Indisponible,Indisponible,Faire évoluer Solochi (niveau 50),Faire évoluer Solochi (niveau 50),Échange,Échange,,,Lac Ouragan,Échange,Incompatible,Incompatible,,,,
0635,Trioxhydre,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,"Route Victoire (Embuscades, du ciel)","Route Victoire (Embuscades, du ciel)",Indisponible,Indisponible,Faire évoluer Diamat (niveau 64),Faire évoluer Diamat (niveau 64),Échange,Échange,,,Cavernes Gronde-Mer,Échange,Incompatible,Incompatible,,,,
0636,Pyronille,,,,,,,,,,,,,,,,,,Œuf donné sur la Route 18,Œuf donné sur la Route 18,Indisponible,Indisponible,"Safari des Amis Feu, position 2 (2896-4240-0090)","Safari des Amis Feu, position 2 (2896-4240-0090)","Île Mirage (Nord d'Autéquia), Forêt Mirage (Nord de la Route 111)","Île Mirage (Nord d'Autéquia), Forêt Mirage (Nord de la Route 111)",Échange,Échange,Jungle Sombrefeuille*,Jungle Sombrefeuille*,,,"Forêt Flexion, Lagune Circulaire","Forêt Flexion, Lagune Circulaire",Incompatible,Incompatible,,,,
0637,Pyrax,,,,,,,,,,,,,,,,,,Fond du Château Enfoui,Fond du Château Enfoui,Fond du Château Enfoui (en passant par le Chemin Enfoui),Fond du Château Enfoui (en passant par le Chemin Enfoui),Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Intrusion* (Pyronille*),Intrusion* (Pyronille*),,,"Plage de l'Épreuve, Mer Isol'Îlots, Sables de Kudsac","Plage de l'Épreuve, Mer Isol'Îlots, Sables de Kudsac",Incompatible,Incompatible,,,,
0638,Cobaltium,,,,,,,,,,,,,,,,,,Grotte Parsemille - Espace Guide,Grotte Parsemille - Espace Guide,Route 13,Route 13,Indisponible,Indisponible,"Plaine Sans Nom (Mercredi, Vendredi et Dimanche, avec 3 Pokémon full EVs)","Plaine Sans Nom (Mercredi, Vendredi et Dimanche, avec 3 Pokémon full EVs)",Échange,Échange,"Ultra-Dimension, brèche verte","Ultra-Dimension, brèche verte",,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0639,Terrakium,,,,,,,,,,,,,,,,,,Route Victoire - Salle Épreuve,Route Victoire - Salle Épreuve,Route 22,Route 22,Indisponible,Indisponible,"Plaine Sans Nom (Mardi et Samedi, avec 3 Pokémon full EVs)","Plaine Sans Nom (Mardi et Samedi, avec 3 Pokémon full EVs)",Échange,Échange,"Ultra-Dimension, brèche verte","Ultra-Dimension, brèche verte",,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0640,Viridium,,,,,,,,,,,,,,,,,,Forêt d'Empoigne - Clairière Réflexion,Forêt d'Empoigne - Clairière Réflexion,Route 11,Route 11,Indisponible,Indisponible,"Plaine Sans Nom (Lundi et Jeudi, avec 3 Pokémon full EVs)","Plaine Sans Nom (Lundi et Jeudi, avec 3 Pokémon full EVs)",Échange,Échange,"Ultra-Dimension, brèche verte","Ultra-Dimension, brèche verte",,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0641,Boréas,Avatar,,,,,,,,,,,,,,,,,Pokémon mouvant après être entré dans la Route 10 et l'avoir vu sur la Route 7,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Nuages noirs (avec Morphéo dans l'équipe),Indisponible,Échange,Échange,"Ultra-Dimension, brèche rouge",Ultra-Dimension,,,Expédition Dynamax,Expédition Dynamax,??,??,,,,
0641,Boréas,Totémique,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0642,Fulguris,Avatar,,,,,,,,,,,,,,,,,Indisponible,Pokémon mouvant après être entré dans la Route 10 et l'avoir vu sur la Route 7,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Nuages noirs (avec Morphéo dans l'équipe),Échange,Échange,Ultra-Dimension,"Ultra-Dimension, brèche rouge",,,Expédition Dynamax,Expédition Dynamax,??,??,,,,
0642,Fulguris,Totémique,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0643,Reshiram,,,,,,,,,,,,,,,,,,"Palais de N, salle du trône",Indisponible,Indisponible,Invoquer avec le Galet Blanc à la Tour Dragospire (donné par N dans son palais),Indisponible,Indisponible,Grotte Évanescente (Avec un Pokémon niveau 100 dans l'équipe),Indisponible,Échange,Échange,"Ultra-Dimension, brèche verte",Ultra-Dimension,,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0644,Zekrom,,,,,,,,,,,,,,,,,,Indisponible,"Palais de N, salle du trône",Invoquer avec le Galet Noir à la Tour Dragospire (donné par N dans son palais),Indisponible,Indisponible,Indisponible,Indisponible,Grotte Évanescente (Avec un Pokémon niveau 100 dans l'équipe),Échange,Échange,Ultra-Dimension,"Ultra-Dimension, brèche verte",,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0645,Démétéros,Avatar,,,,,,,,,,,,,,,,,Autel Abondance avec Boréas et Fulguris dans l'équipe,Autel Abondance avec Boréas et Fulguris dans l'équipe,Indisponible,Indisponible,Indisponible,Indisponible,Nuages noirs (avec Boréas et Fulguris dans l'équipe),Nuages noirs (avec Boréas et Fulguris dans l'équipe),Échange,Échange,"Ultra-Dimension, brèche verte, nécessite Fulguris et Boréas dans l'équipe","Ultra-Dimension, brèche verte, nécessite Fulguris et Boréas dans l'équipe",,,Expédition Dynamax,Expédition Dynamax,??,??,,,,
0645,Démétéros,Totémique,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0646,Kyurem,,,,,,,,,,,,,,,,,,"Grotte Cyclopéenne, fin fond du cratère","Grotte Cyclopéenne, fin fond du cratère","Grotte Cyclopéenne, fin fond du cratère, Forme noire ou blanche affrontée mais non capturée lors de l'aventure","Grotte Cyclopéenne, fin fond du cratère, Forme noire ou blanche affrontée mais non capturée lors de l'aventure",Indisponible,Indisponible,Gouffre Informe (avoir Reshiram et Zekrom dans l'équipe),Gouffre Informe (avoir Reshiram et Zekrom dans l'équipe),Échange,Échange,"Ultra-Dimension, brèche bleue, nécessite Zekrom et Reshiram dans l'équipe","Ultra-Dimension, brèche bleue, nécessite Zekrom et Reshiram dans l'équipe",,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,,,,
0647,Keldeo,Aspect Normal,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Disponible après la quête de Sonya dans Couronneige sur une petite île du Lac Poké Ball à côté de la Butte du Dynarbre. Keldeo apparaît lorsque le joueur possède Cobaltium, Terrakium et Viridium dans son équipe après la préparation d'un curry.","Disponible après la quête de Sonya dans Couronneige sur une petite île du Lac Poké Ball à côté de la Butte du Dynarbre. Keldeo apparaît lorsque le joueur possède Cobaltium, Terrakium et Viridium dans son équipe après la préparation d'un curry.",Incompatible,Incompatible,,,,
0647,Keldeo,Aspect Décidé,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0648,Meloetta,Chant,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0648,Meloetta,Danse,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0649,Genesect,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,Événement Nintendo,Événement Nintendo,Incompatible,Incompatible,,,,
0649,Genesect,Module Aqua,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0649,Genesect,Module Cryo,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0649,Genesect,Module Choc,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0649,Genesect,Module Pyro,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0650,Marisson,,,,,,,,,,,,,,,,,,,,,,Pokémon de départ à Quarellis,Pokémon de départ à Quarellis,Indisponible,Indisponible,Échange,Échange,Faire reproduire Blindépique,Faire reproduire Blindépique,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0651,Boguérisse,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire reproduire Blindépique,Faire reproduire Blindépique,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0652,Blindépique,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Jeudi, Île Noadkoko","Scanner des Îles : Jeudi, Île Noadkoko",,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0653,Feunnec,,,,,,,,,,,,,,,,,,,,,,Pokémon de départ à Quarellis,Pokémon de départ à Quarellis,Indisponible,Indisponible,Échange,Échange,Faire reproduire Goupelin,Faire reproduire Goupelin,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0654,Roussil,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire reproduire Goupelin,Faire reproduire Goupelin,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0655,Goupelin,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Samedi, Vieille Route","Scanner des Îles : Samedi, Vieille Route",,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0656,Grenousse,,,,,,,,,,,,,,,,,,,,,,Pokémon de départ à Quarellis,Pokémon de départ à Quarellis,Indisponible,Indisponible,Échange,Échange,Faire reproduire Amphinobi,Faire reproduire Amphinobi,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0657,Croâporal,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire reproduire Amphinobi,Faire reproduire Amphinobi,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0658,Amphinobi,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Vendredi, Prairie de Poni","Scanner des Îles : Vendredi, Prairie de Poni",,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0658,Amphinobi,Sacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0659,Sapereau,,,,,,,,,,,,,,,,,,,,,,"Route 22 (Hautes herbes), Route 2, Route 3, Route 5","Route 22 (Hautes herbes), Route 2, Route 3, Route 5",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Plaine Verdoyante, Bois de Clairjour, Lac Coupenotte Ouest, Lac Coupenotte Est, Lac Milobellus Nord, Coiffe du Géant","Plaine Verdoyante, Bois de Clairjour, Lac Coupenotte Ouest, Lac Coupenotte Est, Lac Milobellus Nord, Coiffe du Géant",Incompatible,Incompatible,,,,
0660,Excavarenne,,,,,,,,,,,,,,,,,,,,,,Route 22 (Fleurs),Route 22 (Fleurs),Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Œil du Lac, Siège du Géant, Lac Milobellus Nord, Prairie Entre-Ponts, Miroir du Géant, Coiffe du Géant, Expédition Dynamax","Œil du Lac, Siège du Géant, Lac Milobellus Nord, Prairie Entre-Ponts, Miroir du Géant, Coiffe du Géant, Expédition Dynamax",Incompatible,Incompatible,,,,
0661,Passerouge,,,,,,,,,,,,,,,,,,,,,,"Route 2, Route 3, Forêt de Neuvartault","Route 2, Route 3, Forêt de Neuvartault",Indisponible,Indisponible,Parc Volcanique,Parc Volcanique,"Parc Volcanique, Route 8 (Alola)","Parc Volcanique, Route 8 (Alola)",,,"Route de l'Épreuve, Lagune Circulaire, Sables de Kudsac","Route de l'Épreuve, Lagune Circulaire, Sables de Kudsac",Incompatible,Incompatible,,,,
0662,Braisillon,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Route 8,Route 8,Intrusion* (Passerouge*),Intrusion* (Passerouge*),,,"Mer Eau-Hisse, Lagune Circulaire, Mer Align'Îlots, Mer Isol'Îlots, Îlot Calméole, Mer Calméole, Plaine Salutation, Lande Boldair, Plaine des Efforts","Mer Eau-Hisse, Lagune Circulaire, Mer Align'Îlots, Mer Isol'Îlots, Îlot Calméole, Mer Calméole, Plaine Salutation, Lande Boldair, Plaine des Efforts",Incompatible,Incompatible,,,,
0663,Flambusard,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,"Faire évoluer Braisillon (niveau 35), Échange interne, Chemin du Défi","Faire évoluer Braisillon (niveau 35), Échange interne, Chemin du Défi","Faire évoluer Braisillon (niveau 35), Échange interne","Faire évoluer Braisillon (niveau 35), Échange interne",,,"Lande Boldair, Lagune Circulaire, Plaine des Efforts, Expédition Dynamax","Lande Boldair, Lagune Circulaire, Plaine des Efforts, Expédition Dynamax",Incompatible,Incompatible,,,,
0664,Lépidonille,,,,,,,,,,,,,,,,,,,,,,"Route 2, Forêt de Neuvartault","Route 2, Forêt de Neuvartault",Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Jeudi, Ekaeka","Scanner des Îles : Jeudi, Ekaeka",,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0665,Pérégrain,,,,,,,,,,,,,,,,,,,,,,Champ de Baies (Baies roses),Champ de Baies (Baies roses),Indisponible,Indisponible,Échange,Échange,Faire évoluer Lépidonille (niveau 9),Faire évoluer Lépidonille (niveau 9),,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0666,Prismillon,Motif Blizzard,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire évoluer Pérégrain (niveau 12),Faire évoluer Pérégrain (niveau 12),,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0666,Prismillon,Motif Banquise,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Glace,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Continent,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Verdure,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Monarchie,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Floraison,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Métropole,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Rivage,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Archipel,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Sécheresse,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Sable,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Delta,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Cyclone,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Mangrove,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Zénith,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Soleil Levant,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Jungle,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Fantaisie,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0666,Prismillon,Motif Poké Ball,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0667,Hélionceau,,,,,,,,,,,,,,,,,,,,,,Route 22,Route 22,Indisponible,Indisponible,Échange,Échange,Faire reproduire Némélios,Faire reproduire Némélios,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0667,Némélios,Mâle,,,,,,,,,,,,,,,,,,,,,"Safari des Amis Feu, position 2 (1566-2154-0841)","Safari des Amis Feu, position 2 (1566-2154-0841)",Indisponible,Indisponible,Échange,Échange,Plaine de Poni,Plaine de Poni,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0668,Némélios,Femelle,,,,,,,,,,,,,,,,,,,,,"Safari des Amis Feu, position 2 (1566-2154-0841)","Safari des Amis Feu, position 2 (1566-2154-0841)",Indisponible,Indisponible,,,,,,,,,,,,,,
0669,Flabébé,Fleur Rouge,,,,,,,,,,,,,,,,,,,,,"Route 4, Route 7","Route 4, Route 7",Indisponible,Indisponible,Échange,Échange,Jardin de Mele-Mele,Jardin de Mele-Mele,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0669,Flabébé,Fleur Orange,,,,,,,,,,,,,,,,,,,,,"Route 4, Route 7","Route 4, Route 7",Indisponible,Indisponible,,,,,,,,,,,,,,
0669,Flabébé,Fleur Jaune,,,,,,,,,,,,,,,,,,,,,"Route 4, Route 7","Route 4, Route 7",Indisponible,Indisponible,,,,,,,,,,,,,,
0669,Flabébé,Fleur Bleu,,,,,,,,,,,,,,,,,,,,,"Route 4, Route 7","Route 4, Route 7",Indisponible,Indisponible,,,,,,,,,,,,,,
0669,Flabébé,Fleur Blanc,,,,,,,,,,,,,,,,,,,,,"Route 4, Route 7","Route 4, Route 7",Indisponible,Indisponible,,,,,,,,,,,,,,
0670,Floette,Fleur Rouge,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Jardin d'Ula-Ula,Jardin d'Ula-Ula,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0670,Floette,Fleur Orange,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0670,Floette,Fleur Jaune,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0670,Floette,Fleur Bleu,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0670,Floette,Fleur Blanc,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
0670,Floette,Éternelle,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Jardin de Poni,Jardin de Poni,,,,,,,,,,
0671,Florges,Fleur Rouge,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire évoluer Floette avec une Pierre Éclat,Faire évoluer Floette avec une Pierre Éclat,,,Incompatible,Incompatible,Incompatible,Incompatible,,,,
0671,Florges,Fleur Orange,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,,,,,,,,,,,,,,
